time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-02T02:24:20.280Z,38.8206673,-122.8396683,-0.59,2.81,md,47,52,0.004371,0.32,nc,nc73009206,2018-05-02T11:00:37.459Z,"9km NW of The Geysers, CA",earthquake,0.34,0.64,0.14,30,automatic,nc,nc
2018-05-01T23:34:15.620Z,33.493,-116.803,3.19,2.68,ml,121,14,0.0907,0.21,ci,ci38161976,2018-05-02T04:12:27.268Z,"8km NE of Aguanga, CA",earthquake,0.11,0.43,0.183,27,reviewed,ci,ci
2018-05-01T16:28:54.680Z,28.9741,-98.0107,5,3.4,mb_lg,,78,0.213,0.98,us,us1000dvdg,2018-05-02T04:00:36.085Z,"12km SSE of Poth, Texas",earthquake,3.3,2,0.059,74,reviewed,us,us
2018-05-01T12:53:10.880Z,32.7838333,-118.4446667,7.73,3.28,ml,27,204,0.1358,0.29,ci,ci38161664,2018-05-01T22:09:03.640Z,"10km WSW of San Clemente Is. (SE tip), CA",earthquake,0.72,1.02,0.135,126,reviewed,ci,ci
2018-05-01T11:57:27.270Z,32.7603333,-118.4276667,7.51,2.78,ml,17,218,0.1624,0.29,ci,ci38161648,2018-05-01T14:19:03.735Z,"10km SW of San Clemente Is. (SE tip), CA",earthquake,0.9,1.27,0.135,80,reviewed,ci,ci
2018-05-01T11:53:03.230Z,32.7983333,-118.4455,7.74,3.39,ml,33,202,0.1217,0.32,ci,ci38161632,2018-05-02T11:54:28.845Z,"10km WSW of San Clemente Is. (SE tip), CA",earthquake,0.61,0.83,0.163,311,reviewed,ci,ci
2018-05-01T11:22:22.130Z,32.7871667,-118.439,8.42,3.74,ml,62,196,0.134,0.32,ci,ci38161520,2018-05-02T11:23:36.571Z,"10km WSW of San Clemente Is. (SE tip), CA",earthquake,0.46,0.65,0.158,336,reviewed,ci,ci
2018-05-01T10:26:45.260Z,31.5146667,-115.615,12.58,3.29,ml,16,105,0.1896,0.15,ci,ci38161496,2018-05-01T23:25:10.817Z,"90km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.29,0.74,0.182,92,reviewed,ci,ci
2018-05-01T10:16:56.860Z,37.8805,-121.9796667,5.69,2.57,md,102,42,0.0418,0.19,nc,nc73009016,2018-05-02T07:39:55.478Z,"5km NNW of Diablo, CA",earthquake,0.15,0.26,0.177,78,reviewed,nc,nc
2018-05-01T05:52:32.290Z,36.1839,-98.6982,5,2.7,mb_lg,,50,0.295,0.23,us,us1000dv7d,2018-05-02T04:00:07.426Z,"21km WSW of Fairview, Oklahoma",earthquake,1.5,1.9,0.06,72,reviewed,us,us
2018-04-30T12:57:04.900Z,36.4681,-98.7852,5,2.5,mb_lg,,119,0.036,0.56,us,us1000dupq,2018-04-30T13:08:53.040Z,"35km NW of Fairview, Oklahoma",earthquake,1.4,2,0.069,54,reviewed,us,us
2018-04-30T11:55:02.750Z,37.8736667,-121.988,6.05,3.3,mw,137,43,0.0368,0.19,nc,nc73008716,2018-05-02T05:51:55.101Z,"5km NE of Alamo, CA",earthquake,0.13,0.2,,4,reviewed,nc,nc
2018-04-30T11:04:11.910Z,44.2766667,-114.5753333,10.87,2.51,ml,12,105,0.723,0.26,mb,mb80291624,2018-04-30T14:37:02.880Z,"37km SW of Challis, Idaho",earthquake,0.93,2.63,0.123,7,reviewed,mb,mb
2018-04-30T11:01:24.170Z,36.4472,-98.7867,5,3.2,mb_lg,,94,0.047,0.36,us,us1000dun8,2018-05-02T03:35:22.680Z,"33km NW of Fairview, Oklahoma",earthquake,1.3,1.9,0.047,118,reviewed,us,us
2018-04-30T10:06:33.580Z,33.3043333,-116.4213333,10.38,2.79,ml,96,32,0.03621,0.17,ci,ci38160896,2018-04-30T22:17:08.920Z,"7km NW of Borrego Springs, CA",earthquake,0.15,0.31,0.179,26,reviewed,ci,ci
2018-04-30T07:40:55.280Z,33.283,-116.2763333,5.59,2.68,ml,114,28,0.08766,0.18,ci,ci38160856,2018-04-30T22:04:56.170Z,"10km ENE of Borrego Springs, CA",earthquake,0.11,0.42,0.267,25,reviewed,ci,ci
2018-04-29T22:55:39.120Z,31.2555,-115.616,9.36,3.51,ml,5,197,0.1975,0.13,ci,ci38160704,2018-04-30T15:17:58.765Z,"104km ESE of Maneadero, B.C., MX",earthquake,1.83,1.55,0.178,188,reviewed,ci,ci
2018-04-29T22:32:08.320Z,36.2968333,-83.3895,21.17,3.1,md,30,50,0.07607,0.15,se,se60197892,2018-05-02T12:52:49.083Z,"7km NW of Morristown, Tennessee",earthquake,0.22,0.49,0.058,25,reviewed,se,se
2018-04-29T22:25:12.350Z,37.8231659,-121.9788361,7.89,2.95,md,61,63,0.067,0.08,nc,nc73008421,2018-04-30T22:55:09.538Z,"2km E of Danville, CA",earthquake,0.16,0.36,0.14,82,automatic,nc,nc
2018-04-29T17:55:29.440Z,47.238,-120.7653333,1.43,3.32,ml,22,52,0.06942,0.09,uw,uw61382986,2018-05-01T19:15:54.980Z,"14km ENE of Cle Elum, Washington",earthquake,0.23,0.82,0.161,13,reviewed,uw,uw
2018-04-29T17:38:15.930Z,37.8256683,-121.9773331,8.1,2.67,md,53,64,0.06847,0.08,nc,nc73008326,2018-04-30T12:15:37.369Z,"2km WSW of Diablo, CA",earthquake,0.17,0.34,0.12,61,automatic,nc,nc
2018-04-29T17:34:35.450Z,37.828167,-121.9769974,8.13,2.97,md,60,64,0.06911,0.08,nc,nc73008316,2018-04-30T14:16:16.995Z,"2km WSW of Diablo, CA",earthquake,0.16,0.33,0.16,68,automatic,nc,nc
2018-04-29T16:59:39.380Z,29.0414,-97.767,5,2.7,mb_lg,,123,0.189,0.46,us,us1000ducb,2018-04-29T17:17:32.040Z,"18km NNW of Runge, Texas",earthquake,2.3,2,0.093,30,reviewed,us,us
2018-04-29T15:42:41.440Z,37.4047,-97.6555,5,2.6,mb_lg,,157,0.118,0.4,us,us1000dubj,2018-04-30T08:50:38.143Z,"1km NW of Conway Springs, Kansas",earthquake,1.9,1.9,0.075,46,reviewed,us,us
2018-04-29T10:34:25.660Z,41.3935013,-121.6204987,8.3,2.8,md,27,147,0.1872,0.13,nc,nc73008166,2018-04-29T18:37:11.119Z,"32km SE of Tennant, CA",earthquake,0.37,1.72,0.12,29,automatic,nc,nc
2018-04-29T06:39:22.810Z,34.9481667,-84.853,12.37,2.58,md,18,41,0.1727,0.11,se,se60197812,2018-05-02T10:10:25.737Z,"12km ENE of Varnell, Georgia",earthquake,0.25,1.38,0.091,16,reviewed,se,se
2018-04-29T04:11:11.280Z,37.556,-92.627,2.27,2.53,md,12,88,0.4925,0.07,nm,nm60197802,2018-04-30T23:17:44.040Z,"14km SSE of Lebanon, Missouri",earthquake,0.28,4.02,0.066,8,reviewed,nm,nm
2018-04-29T01:17:08.170Z,36.195,-120.7653333,7.37,2.98,md,86,94,0.03577,0.1,nc,nc73007941,2018-05-01T18:13:02.475Z,"23km NNE of San Ardo, CA",earthquake,0.15,0.24,0.15,87,reviewed,nc,nc
2018-04-28T16:28:11.360Z,36.1483333,-120.2311667,8.75,2.53,md,55,128,0.1314,0.07,nc,nc73007816,2018-05-02T04:39:02.974Z,"11km E of Coalinga, CA",earthquake,0.36,0.63,0.167,65,reviewed,nc,nc
2018-04-28T11:41:22.870Z,36.3579,-98.1497,6.82,2.5,mb_lg,,64,0.198,0.25,us,us1000dtxq,2018-04-29T14:03:16.971Z,"23km SSE of Helena, Oklahoma",earthquake,1.1,4.2,0.096,28,reviewed,us,us
2018-04-28T10:21:25.470Z,42.5526,-111.4686,5,2.9,ml,,64,0.143,0.55,us,us1000dtwp,2018-04-29T20:03:59.190Z,"15km SE of Soda Springs, Idaho",earthquake,1.2,1.9,0.046,62,reviewed,us,us
2018-04-28T09:06:57.210Z,38.7943344,-122.7860031,2.64,2.58,md,46,68,0.00189,0.04,nc,nc73007691,2018-04-28T16:59:56.272Z,"3km NW of The Geysers, CA",earthquake,0.17,0.26,0.18,27,automatic,nc,nc
2018-04-28T05:53:25.240Z,36.0995,-97.8337,3.25,2.8,mb_lg,,39,0.116,0.16,us,us1000dttx,2018-04-28T11:05:49.041Z,"5km E of Hennessey, Oklahoma",earthquake,1.2,6.3,0.049,107,reviewed,us,us
2018-04-28T04:00:58.242Z,39.0826,-116.0408,6.9,2.6,ml,9,62.69,0.921,0.2357,nn,nn00632393,2018-04-30T22:31:32.040Z,"48km S of Eureka, Nevada",earthquake,,6,0.11,2,reviewed,nn,nn
2018-04-27T19:49:18.850Z,36.4461,-98.7696,4.92,2.7,mb_lg,,92,0.038,0.31,us,us1000dtlj,2018-04-28T16:51:36.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.5,2.4,0.063,66,reviewed,us,us
2018-04-27T14:38:20.720Z,42.6058333,-111.4353333,8.04,2.58,ml,20,77,0.1339,0.15,uu,uu60279777,2018-04-28T07:44:13.479Z,"14km ESE of Soda Springs, Idaho",earthquake,0.47,0.64,0.197,9,reviewed,uu,uu
2018-04-27T10:56:07.045Z,41.8648,-119.6378,6.2,2.7,ml,6,132.09,0.646,0.1342,nn,nn00632329,2018-05-01T05:22:10.171Z,"68km ESE of Lakeview, Oregon",earthquake,,9,0.37,3,reviewed,nn,nn
2018-04-26T22:30:39.810Z,37.3505,-97.6777,8.99,2.8,mb_lg,,62,0.064,0.48,us,us1000dt2z,2018-04-27T02:53:24.948Z,"5km SW of Conway Springs, Kansas",earthquake,1.9,6.4,0.068,57,reviewed,us,us
2018-04-26T19:02:54.950Z,36.9358,-97.6409,5.8,2.9,mb_lg,,54,0.146,0.19,us,us1000dswh,2018-04-27T00:32:59.222Z,"11km SSW of Caldwell, Kansas",earthquake,1,1.9,0.069,54,reviewed,us,us
2018-04-26T18:49:47.450Z,28.9511,-98.0805,4.66,3.1,mb_lg,,65,0.257,0.83,us,us1000dsw1,2018-05-01T16:39:19.649Z,"13km S of Poth, Texas",earthquake,5.7,7.9,0.061,71,reviewed,us,us
2018-04-26T11:25:48.710Z,35.3737,-98.0914,12.42,2.8,mb_lg,,43,0.156,0.39,us,us1000dsmj,2018-04-26T12:33:12.523Z,"13km W of Union City, Oklahoma",earthquake,2.6,7.7,0.056,82,reviewed,us,us
2018-04-26T01:36:00.560Z,33.3796667,-116.2983333,13.95,3.94,mw,139,25,0.07813,0.21,ci,ci37924223,2018-05-01T19:09:54.711Z,"16km NNE of Borrego Springs, CA",earthquake,0.12,0.31,,6,reviewed,ci,ci
2018-04-25T23:30:06.960Z,33.4958333,-116.8033333,2.94,2.93,ml,150,11,0.08864,0.23,ci,ci37924015,2018-04-27T00:02:49.429Z,"8km NE of Aguanga, CA",earthquake,0.1,0.42,0.135,230,reviewed,ci,ci
2018-04-25T22:39:22.440Z,33.377,-116.2818333,13.75,2.51,ml,98,22,0.08725,0.18,ci,ci37923951,2018-04-26T17:18:05.052Z,"16km NNE of Borrego Springs, CA",earthquake,0.12,0.34,0.179,25,reviewed,ci,ci
2018-04-25T16:52:07.860Z,33.977,-117.2155,14.18,3.17,ml,154,13,0.04619,0.19,ci,ci37923679,2018-05-01T19:41:14.962Z,"6km NNE of Moreno Valley, CA",earthquake,0.11,0.22,0.165,293,reviewed,ci,ci
2018-04-25T15:35:20.700Z,36.9403,-97.6373,5,2.6,ml,,40,,0.31,us,us1000ds2e,2018-04-26T01:56:18.040Z,"10km SSW of Caldwell, Kansas",earthquake,1.1,2,,,reviewed,tul,tul
2018-04-25T14:52:58.700Z,36.9404,-97.6368,4.217,3,ml,,40,,0.19,us,us1000ds1l,2018-04-26T06:07:56.721Z,"10km SSW of Caldwell, Kansas",earthquake,1.1,5.3,,,reviewed,tul,tul
2018-04-25T14:46:21.500Z,36.947,-97.6251,6.908,3,ml,,59,,0.18,us,us1000ds1c,2018-05-01T22:37:42.194Z,"9km S of Caldwell, Kansas",earthquake,1.3,7.1,,,reviewed,tul,tul
2018-04-25T09:47:45.850Z,33.8245,-115.5606667,2.95,2.56,ml,40,58,0.1338,0.15,ci,ci37923167,2018-04-26T19:09:19.976Z,"19km NW of Desert Center, CA",earthquake,0.17,0.75,0.151,115,reviewed,ci,ci
2018-04-25T07:56:16.530Z,36.0261667,-83.7891667,8.24,2.74,md,27,44,0.2418,0.21,se,se60197292,2018-04-29T22:50:35.043Z,"5km SW of Mascot, Tennessee",earthquake,0.3,1.53,0.058,24,reviewed,se,se
2018-04-25T06:19:24.480Z,34.8518333,-116.3995,1.5,2.87,ml,27,69,0.05758,0.16,ci,ci37923007,2018-04-26T01:52:44.687Z,"26km WNW of Ludlow, CA",earthquake,0.17,0.36,0.149,170,reviewed,ci,ci
2018-04-25T02:19:50.500Z,36.9469,-97.6262,7.365,2.5,ml,,59,,0.32,us,us1000ds1v,2018-04-30T22:16:53.040Z,"9km S of Caldwell, Kansas",earthquake,1,3.2,,,reviewed,tul,tul
